Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
LOC128625973,1.27759008,-0.000265468,0.213080783,0.99657735,NA
DPYD,212.6773474,-0.202258505,0.174961709,0.102506602,0.260393489
PTBP2,1353.788716,0.167765567,0.080316954,0.019756992,0.079835977
RWDD3,84.7925783,0.016728376,0.140807126,0.888721351,0.947596476
TLCD4,146.8345157,2.423797965,0.205223743,1.84E-33,4.44E-31
LOC128625981,10.91956446,-0.000864581,0.199251091,0.984662691,0.992615897
ALG14,170.5309154,0.012112248,0.102405636,0.899159633,0.951949048
CNN3,8609.073953,-0.20249108,0.079752073,0.00614979,0.032788502
SLC44A3,131.2099394,-0.017128113,0.127340931,0.849076103,0.928912801
MRS2,895.655602,0.080630878,0.06645974,0.201259901,0.409200927
GPLD1,120.1795268,-0.077069829,0.141161017,0.469027123,0.67782792
ALDH5A1,175.9371542,-0.157254236,0.113170893,0.09563377,0.248798186
TDP2,904.093862,0.001762943,0.064421687,0.966963323,0.984257702
ACOT13,155.413155,-0.132854383,0.122133466,0.190994702,0.3954413
CUNH6orf62,4654.96275,0.503390284,0.090426351,3.88E-09,1.26E-07
GMNN,172.8363283,0.245385841,0.156295764,0.041233243,0.137039613
RIPOR2,8.034266901,-0.020187273,0.207008042,0.73481568,0.862403565
LOC119054965,6.837087871,0.035660134,0.208397806,0.570496785,0.754699571
CARMIL1,241.6923105,-0.04929213,0.109739784,0.603574141,0.78041193
LOC119054955,0.234470617,0.006242501,0.214933983,0.860604251,NA
TRIM38,354.8635128,0.061547064,0.106724268,0.502747674,0.703316036
LOC119054956,0.56265935,0.003438618,0.21389859,0.934193856,NA
LOC128625989,0.844807878,0.036512536,0.218385203,0.138125092,NA
H1-1,0.668293149,-0.006906755,0.21422602,0.70423556,NA
LOC119054987,0.320491777,0.010913983,0.215123553,0.642552263,NA
LOC119054937,0.803832106,-0.009331677,0.214104714,0.638945517,NA
LOC119054921,1.728900101,0.081151677,0.235819712,0.010981098,NA
LOC119054925,1.970614926,0.029351874,0.213453545,0.496110202,NA
LOC119054933,3.519275502,0.035549079,0.215095374,0.406372226,NA
LOC119054928,0.470644866,-0.01091499,0.215003488,0.695929345,NA
LOC119054922,4.123963517,-0.069718175,0.22346716,0.211001616,NA
LOC119054917,280.1279628,0.471823659,0.251669158,0.006451531,0.033946889
