Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
UPP1,119.7754085,0.047170605,0.135168411,0.196106063,0.472142839
ABCA13,1.831168853,0.019229445,0.1305671,0.055718667,NA
VWC2,7.228000032,0.03239748,0.131016516,0.284009377,NA
ZPBP,73.8461007,0.051962911,0.115640697,0.421904486,0.699273541
SPATA48,42.78759342,-0.010999342,0.113279106,0.834872742,0.942388868
LOC119057327,0.528956068,-0.00435312,0.12879195,0.471547369,NA
IKZF1,185.3805742,0.153208433,0.176181192,0.066479118,0.249135527
FIGNL1,217.1734053,-0.19755847,0.132396756,0.026052445,0.134931486
DDC,0.875778663,0.003900884,0.128819405,0.763610875,NA
GRB10,11389.49296,0.027765113,0.066275632,0.654892432,0.853302451
COBL,1675.588079,0.151702984,0.079241828,0.018915826,0.108225004
VSTM2A,0.258537864,-0.000326431,0.128828238,0.97270993,NA
SEC61G,922.4810604,0.575094868,0.08075627,7.23E-14,9.12E-12
EGFR,945.4312224,0.041721987,0.101175085,0.519040146,0.76922998
LOC119057340,1.493982626,-0.002308984,0.128095478,0.849247388,NA
LANCL2,122.7022721,-0.056754294,0.104571441,0.432010121,0.706155483
LOC128626824,81.5274493,0.092254684,0.129709461,0.192087038,0.467516238
VOPP1,63.07137339,-0.061856676,0.124131069,0.315008534,0.601843271
LSMEM1,3.598402278,-7.95E-05,0.127785315,0.994249329,NA
IFRD1,1286.754161,0.528475373,0.103378045,2.34E-08,1.22E-06
ZNF277,789.8773831,0.041879409,0.098207492,0.535427484,0.778452529
DOCK4,616.9189127,-0.044701177,0.111631855,0.519080629,0.76922998
LOC119057308,0.501374082,0.003554569,0.128743994,0.623007663,NA
IMMP2L,15.36190405,0.036880342,0.12849412,0.388682855,NA
LRRN3,26.79844325,0.0087411,0.122911936,0.861113091,0.95263628
DNAJB9,2909.433727,0.712347537,0.105300125,8.07E-13,8.80E-11
THAP5,600.6834241,0.490053621,0.130050505,1.16E-05,0.000305935
GPR141,0.280564625,-0.001158789,0.128838218,0.655684964,NA
ELMO1,212.9092499,0.008872835,0.092681621,0.883902405,0.959847597
ANLN,5399.119703,-0.344802388,0.13316397,0.001100763,0.013010228
MATCAP2,66.26667036,-0.000391374,0.111411205,0.988412312,0.995979362
EEPD1,12.27046909,-0.039683109,0.132493317,0.250185193,NA
SEPTIN7,5087.197189,-0.064304995,0.052046207,0.185663374,0.458410553
HERPUD2,621.9012319,0.10737203,0.087701998,0.114498359,0.347417934
TBX20,1947.438204,0.363558756,0.13167649,0.000510881,0.007120503
DPY19L2,156.3993694,0.212552679,0.174691338,0.028339844,0.142583573
DPY19L1,896.7928626,-0.216785662,0.078415625,0.001054351,0.012601818
BMPER,22.68864811,0.03582461,0.127456528,0.396719117,0.675770877
LOC128626839,13.84984915,-0.081872283,0.164243739,0.024118463,NA
BBS9,696.0936168,0.285825851,0.081508928,6.70E-05,0.001357431
LOC128626840,127.4498006,-0.136081058,0.149758654,0.086787369,0.293652375
RP9,101.783437,0.018144222,0.102238747,0.788032099,0.920983629
NT5C3A,489.7890358,-0.019379265,0.07553592,0.718840453,0.884369313
LOC119035304,0.364606173,-0.002727137,0.128849431,0.632145282,NA
FKBP9,2173.804693,-0.031598396,0.060595256,0.648112367,0.851047881
LOC119035195,56.74971197,0.019620719,0.112517018,0.729712551,0.89104023
KBTBD2,1313.02611,-0.024913512,0.072089302,0.688059443,0.869396817
AVL9,838.8563791,0.071027084,0.095311464,0.291341479,0.579185951
LSM5,411.7199642,-0.050856424,0.092052861,0.411773016,0.689432014
PDE1C,199.2656677,0.408289994,0.190652584,0.002040669,0.021093583
ADCYAP1R1,0.64441453,0.005005138,0.128874384,0.583539213,NA
AQP1,20.41926045,0.016090535,0.123462269,0.670658728,0.861353165
MINDY4,67.54742391,0.093819049,0.145381141,0.154924226,0.414897373
GARS1,3426.655425,0.331675279,0.062424243,1.40E-08,7.69E-07
LOC119035252,348.2025561,0.164907139,0.091753714,0.02295664,0.123686537
GGCT,359.4633419,0.114268196,0.083325904,0.102079821,0.323848525
NOD1,331.3422368,0.10148203,0.112905619,0.165229921,0.429072935
LOC128626878,14.2740701,0.036314489,0.132475595,0.240689632,NA
BTG1,2145.754355,0.438540238,0.159852317,0.000410205,0.005974313
PLEKHG7,114.9690979,0.057303874,0.117681419,0.369572078,0.65161796
EEA1,2859.834542,0.040822213,0.098762616,0.536708718,0.77881373
LOC119050035,2.926626697,0.01269128,0.128764711,0.414087142,NA
LOC119050017,0.447436147,-0.000759631,0.128818886,0.942155843,NA
NUDT4,9228.00664,-0.165782697,0.074615378,0.008919423,0.064207265
UBE2N,3104.055613,-0.131161398,0.076842903,0.039360556,0.177122501
MRPL42,399.7240219,-0.025166401,0.077481239,0.674770039,0.863296781
SOCS2,158.0940884,0.124488404,0.164874802,0.093597683,0.306930122
CRADD,98.50005465,0.079263992,0.114894591,0.257049456,0.544543473
PLXNC1,76.32210858,-0.030794823,0.118232455,0.564704923,0.797153974
CEP83,618.5982276,-0.095933255,0.076507112,0.109682485,0.338769854
TMCC3,4.208247102,-0.003603488,0.127666617,0.844418283,NA
KCNA6,0.41742281,-0.002766869,0.128838554,0.736393559,NA
KCNA1,8.265012054,-0.01735673,0.130221863,0.086390496,NA
GALNT8,8.729618656,0.023222757,0.128199337,0.433083047,NA
NDUFA9,932.8393244,0.046530543,0.059749012,0.363010228,0.646032576
AKAP3,3.751914737,0.006697318,0.128048375,0.654567187,NA
DYRK4,0.618125231,0.005751438,0.128896878,0.533678927,NA
RAD51AP1,206.9442352,-0.381679694,0.135286699,0.000391846,0.005763797
CUNH12orf4,641.372378,-0.223636866,0.094569083,0.002978911,0.027913335
FGF23,1.82391961,0.025220409,0.132027104,0.019261683,NA
TIGAR,542.520504,-0.032753692,0.079716833,0.637786134,0.845849268
CCND2,21046.59642,-0.190328543,0.126039561,0.026971227,0.138058502
LOC128626910,31.10369104,-0.088793888,0.155488693,0.110351917,0.339931882
PARP11,207.5349306,0.017113716,0.095415796,0.819799187,0.936009391
CRACR2A,3.38800033,-0.018547076,0.130162992,0.164259069,NA
TSPAN11,1.323439358,-0.008370417,0.128923816,0.371840215,NA
TSPAN9,2225.66409,0.126377151,0.087198683,0.066004735,0.247940615
TEAD4,507.1801026,-0.182047325,0.120534171,0.027577497,0.139950582
TULP3,1262.783638,-0.056349659,0.073233752,0.350168747,0.63361266
RHNO1,368.6497329,-0.026463299,0.081946059,0.655848085,0.853926222
FOXM1,225.0970745,-0.439071215,0.170155677,0.000735361,0.009549953
NRIP2,3.105685108,0.014580273,0.128549039,0.463183888,NA
ITFG2,453.6042263,0.091657205,0.074640429,0.140620023,0.391384681
LOC128626937,312.0641294,-0.113949989,0.107041904,0.114396602,0.34735711
FKBP4,1634.04832,-0.116519212,0.068945154,0.047637942,0.201406296
WASHC1,526.6407469,0.096830802,0.078360761,0.129262717,0.373383338
