,baseMean,log2FoldChange,lfcSE,pvalue,padj
LOC119035162,16.73232697,0.000159111,0.040205083,0.972492087,NA
NSD1,3144.433887,0.022360977,0.041601374,0.24031856,0.630616914
RAB24,418.7228758,-0.009187015,0.039618115,0.461191886,0.785088143
PRELID1,1672.758275,-0.044607927,0.065602152,0.049448991,0.407761539
MXD3,92.58868455,0.000218051,0.039274335,0.983966184,0.996230071
LOC128627128,46.02435814,0.006118333,0.040373115,0.457659308,0.781697995
LMAN2,1467.112179,-0.041103509,0.052196415,0.087165775,0.471491146
RGS14,53.20560366,-0.004260947,0.040043246,0.553673941,0.833187901
SLC34A1,6.189560209,-0.001263421,0.040378142,0.476080493,NA
PFN3,2.270856488,-0.000674807,0.040371081,0.602934923,NA
F12,3.169319508,-0.005584171,0.040927706,0.000485317,NA
GRK6,983.3772286,-0.011041418,0.035457614,0.555683679,0.834130959
PRR7,93.99050026,-0.010442382,0.041385716,0.22562929,0.617121994
DBN1,5662.581998,0.013537423,0.034635551,0.494667556,0.802357415
PDLIM7,9824.516324,-0.01091476,0.035446417,0.558490336,0.835006717
DOK3,35.34269381,0.002630864,0.040158592,0.609098138,0.86045615
DDX41,611.3617523,-0.010301369,0.037404551,0.538264138,0.824592272
FAM193B,1058.519574,0.036553202,0.055794545,0.074984121,0.451249062
LOC119035147,1.670880917,0.000943676,0.040380746,0.43760167,NA
TMED9,1526.796119,-0.027778959,0.047061311,0.139077164,0.53356973
B4GALT7,508.7383379,-0.009917194,0.03889875,0.490697305,0.800430107
N4BP3,27.35237512,-0.000247965,0.040112221,0.964481827,NA
RMND5B,314.6892726,-0.123473579,0.13615437,0.010129428,0.243866323
NHP2,528.7932359,-0.028863439,0.053192134,0.058443501,0.420908395
HNRNPAB,2306.517656,-0.060361159,0.059678197,0.039827083,0.381432809
PHYKPL,219.1764009,0.031612656,0.055925001,0.042023564,0.388858572
COL23A1,1321.101921,0.025705544,0.042906937,0.199415042,0.594393842
CLK4,1492.406705,-0.048668084,0.052051784,0.065876679,0.436506289
LOC119062964,13.79920136,-0.00154118,0.040317466,0.609289893,NA
LOC119055211,243.5987005,-0.014339694,0.041470667,0.274905832,0.659266744
RACK1,9558.658022,-0.044798366,0.059468516,0.064382532,0.434702303
TRIM41,1010.261507,0.042717884,0.048323318,0.088432119,0.472059574
TRIM7,7.331766517,-0.001460007,0.040352506,0.540048581,NA
SMAP1,1565.885463,0.026545708,0.037405588,0.229115805,0.619628043
B3GAT2,48.33083823,0.003622401,0.040040996,0.591361771,0.853373776
LOC119040714,0.127358611,-1.95E-05,0.040382751,0.945443598,NA
OGFRL1,309.1964773,0.00385212,0.037457722,0.790937653,0.935551416
LOC119040711,212.443647,0.014774339,0.040707088,0.295327396,0.672963551
RIMS1,1676.218127,0.026194206,0.049900818,0.072871927,0.446661282
LOC119050611,0.196580362,-2.11E-05,0.040382682,0.994745503,NA
KCNQ5,383.9801706,0.194868761,0.23241944,0.006403674,0.203468511
KHDC3L,1.661292787,0.000673912,0.040367716,0.654584901,NA
LOC119050929,0.235017033,-3.92E-05,0.040382565,0.99238189,NA
CGAS,1.259722803,1.08E-05,0.040372435,0.983187315,NA
MTO1,370.2437889,0.015270193,0.040192136,0.338733813,0.70418029
EEF1A1,117742.331,-0.036817196,0.047039829,0.11519841,0.509957616
SLC17A5,970.9495199,-0.029384074,0.040929507,0.185049573,0.580815335
CD109,742.9963909,0.003635189,0.035960274,0.828596368,0.949303318
COL12A1,51173.13059,0.007125741,0.037210783,0.652678824,0.879653235
LOC119050921,1.645572871,-0.00023431,0.040358975,0.83180685,NA
LOC119050898,1120.268373,-0.007045137,0.039138866,0.561811849,0.83643867
