Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
ARID3A,616.2253978,0.042009237,0.071144728,0.5421415,0.730813464
LOC119036037,1.675684208,0.041996829,0.278582167,0.565798701,0.749724008
IL26,1.350575536,0.04198714,0.281256068,0.53029863,0.721839113
DYRK1A,3133.684783,0.041952426,0.039528512,0.283852062,0.501092686
PGM1,1133.997132,0.041944551,0.051717023,0.409806293,0.621961973
ASB14,1143.441022,0.041939359,0.056417056,0.448445849,0.656219714
MRC2,786.1366433,0.041895204,0.073028378,0.552308253,0.739041692
PKHD1,9484.949302,0.04189152,0.075345028,0.565337258,0.749560963
HSPA8,42746.02428,0.04183004,0.042869881,0.323967629,0.542130897
LRWD1,482.922885,0.041823637,0.090309249,0.625205503,0.78964845
R3HDM2,1983.313057,0.041812108,0.052402584,0.416751088,0.628874776
URI1,1280.728976,0.041802217,0.063798026,0.501495395,0.70032276
SREBF1,107.777274,0.041791086,0.138330313,0.730408947,0.858740413
ELOVL2,25.41907086,0.041773118,0.211184918,0.767573661,0.882503897
RPUSD2,520.2834301,0.04176126,0.072817265,0.552986983,0.739532841
HIPK1,4312.167423,0.041761034,0.039412838,0.284742765,0.501931921
LOC119056208,546.1913512,0.04176039,0.091075786,0.629207687,0.792295986
CUNH1orf122,109.5214269,0.041757476,0.171587222,0.76044634,0.877964477
IQSEC1,826.3497786,0.041743716,0.069172838,0.533786458,0.723913583
BCL7C,222.7863475,0.041703765,0.137669307,0.729319503,0.85801675
LOC119065719,1.023831165,0.041667014,0.284887055,0.310863867,NA
LOC128628258,24.90276126,0.041652529,0.222150937,0.766249777,0.881666115
CCDC85C,90.05702768,0.041635524,0.149329858,0.742928326,0.866333225
WDCP,312.6454419,0.04162143,0.091033474,0.629612409,0.792438173
DRD2,1.180946457,0.04161615,0.282607175,0.418944767,NA
DMAC2,290.7247009,0.041594809,0.103101701,0.665567482,0.818410426
AP1G1,2553.323611,0.041572692,0.095896005,0.645737487,0.804346926
SLC33A1,1848.672574,0.041542247,0.044886458,0.348808152,0.56687413
GDAP1,4.407303332,0.041526687,0.266449975,0.690780743,0.835073444
MDFIC,708.1725279,0.041490702,0.0678603,0.529383168,0.721218172
TMCO2,31.4547457,0.04148275,0.200158018,0.773602528,0.885978656
CUNH4orf54,0.498924293,0.041482219,0.286167693,0.388454266,NA
LOC119045441,0.602957434,0.041473778,0.286339358,0.450789574,NA
GFPT2,6.163922085,0.04146357,0.263874264,0.686426088,0.832375284
LOC119060773,2.558182651,0.041445571,0.280116374,0.452405441,0.659323157
TTYH2,231.2370744,0.041383029,0.108874903,0.680735871,0.828629206
TBL2,2350.46629,0.041382658,0.040514055,0.302159392,0.521103422
LOC128626378,0.721183161,0.041379913,0.285489363,0.298654811,NA
PHB2,1360.919501,0.041257917,0.073438992,0.56109823,0.7464342
KRT35,0.915296781,0.041254741,0.283156517,0.441475276,NA
ABTB2,53.25681005,0.041197742,0.179843021,0.76837172,0.882599581
FAF1,1521.580891,0.041167026,0.051722799,0.418692587,0.63004939
IDI1,2598.984307,0.0410691,0.061512666,0.495879407,0.696479532
LOC119055214,1.150171076,0.041022281,0.284535161,0.296982788,NA
DAXX,1492.754012,0.041017196,0.055199353,0.449755389,0.657601787
FANCM,1355.05488,0.041005982,0.085424729,0.6161096,0.784410832
HECW1,36.65256866,0.041004028,0.197725253,0.773260274,0.885871122
ZNF346,358.3909492,0.040995512,0.084221915,0.610581678,0.780483083
LOC128626042,0.591913442,0.040947116,0.285342231,0.334121986,NA
SLC7A8,18.80474126,0.040928402,0.239659037,0.744361418,0.867027496
SFT2D3,18.16189251,0.040900947,0.234411884,0.733856449,0.860868033
TRAPPC10,930.9504444,0.04089327,0.077198651,0.582514987,0.761879853
LOC128626827,3.913064926,0.040884944,0.270577902,0.64911751,0.806398347
MFSD8,798.6833395,0.040849101,0.068414541,0.538259837,0.727532624
AGO3,3493.529086,0.040848527,0.081516901,0.601226869,0.774540686
LOC119064566,429.8798482,0.040828029,0.101956579,0.668280776,0.820075837
MYO18B,2.026266832,0.040790131,0.281181337,0.4613229,0.666796785
PRR22,4.897545416,0.040770596,0.26738296,0.674101497,0.824177218
LMF1,397.3041972,0.040760992,0.095977952,0.652102989,0.808503358
IL9R,2.533704913,0.040705042,0.27558539,0.627780788,0.79135542
INSIG2,1561.195739,0.040683442,0.07205004,0.559523587,0.745147309
LOC119053811,0.545547066,0.040682663,0.285906515,0.309111041,NA
LOC128626973,597.099952,0.040679002,0.100974458,0.66681494,0.819118722
STAB2,0.547934822,0.040666865,0.285518857,0.309637056,NA
LIG3,369.3518032,0.04065959,0.085328063,0.617317677,0.78514319
ATP6V0D1,955.2468395,0.040598003,0.066206004,0.528238471,0.720260891
ZNF892,216.0811392,0.040550784,0.104280153,0.675894907,0.825761321
XRCC4,171.2009055,0.040538061,0.106091312,0.710400219,0.846454198
NADK,2345.774207,0.040536941,0.060892084,0.495357444,0.695986392
FAM3C,3309.475176,0.040503955,0.045584839,0.368430144,0.585287751
LOC128628117,0.48393686,0.040502583,0.28595347,0.271601792,NA
TMEM129,1398.203989,0.040468528,0.062879702,0.509414902,0.706357452
PCNX4,929.7310197,0.040451652,0.064444206,0.519351452,0.713788199
TRIM16,1545.120269,0.040425942,0.053965421,0.445591022,0.653425762
MEGF11,62.04936497,0.04037522,0.158884443,0.737645211,0.862889731
NUCKS1,5023.748072,0.040361405,0.039257808,0.298630699,0.517526829
NPEPPS,2181.232173,0.040358206,0.045142842,0.365880623,0.582933301
TMEM79,59.39816361,0.040350022,0.165235452,0.765189969,0.881068854
MEMO1,1746.513386,0.040313217,0.04138133,0.324630795,0.542648497
PPP1R3F,367.1179112,0.040306181,0.092365389,0.644935133,0.803899407
PJA1,495.8884788,0.040279118,0.076853035,0.586473957,0.764257029
VMO1,14.53764604,0.040269586,0.231025134,0.766901517,0.881980047
FAM81B,15.51302585,0.04025675,0.239577005,0.73779393,0.863001744
ARCN1,5412.730163,0.040255222,0.034535529,0.240142076,0.450843989
PEX11A,67.28668715,0.040241865,0.169840756,0.767937772,0.882599581
PPP1R13B,187.100875,0.040241292,0.103405405,0.676112058,0.825851163
LOC119053153,393.343127,0.04023565,0.095470104,0.65535443,0.810500576
GAMT,8.170418883,0.040220661,0.256489618,0.686562975,0.832479321
USP48,2083.035738,0.04020549,0.041819295,0.331513869,0.550350176
PROC,2.027417601,0.040188299,0.278115719,0.561131246,0.7464342
AEN,864.9917094,0.040183235,0.07823897,0.593639678,0.769280137
LOC128628025,89.8725045,0.040160089,0.142252474,0.742113835,0.865817186
TSPAN4,529.0811395,0.040157484,0.102525372,0.674739623,0.82470988
NTF3,11.85374456,0.040137097,0.234229644,0.757827531,0.876058304
PDHX,500.0607604,0.040113282,0.088092744,0.632516892,0.794681952
ATG4D,280.7105403,0.040106478,0.114879318,0.702876524,0.84254198
PRDX3,2499.172888,0.040015876,0.053792526,0.449009398,0.65674678
LOC119057714,0.560647859,0.040007008,0.28539316,0.311823508,NA
LOC119063395,0.99295423,0.040006428,0.283078507,0.427324634,NA
TOPORS,1643.115913,0.039995844,0.047850092,0.396692947,0.609324555
MESP2,5.921614526,0.03999262,0.264483789,0.714282285,0.848793409
TEX264,511.8077523,0.039986714,0.085046289,0.621899076,0.787612564
TMEM35B,31.86644447,0.039956212,0.200479698,0.777765417,0.888206719
MARCKS,3173.455283,0.039954408,0.057958641,0.001651801,0.010771553
DHX8,1271.93494,0.039924055,0.052083878,0.435644753,0.644785625
GAS7,474.2373735,0.039921609,0.110463803,0.695378082,0.83785942
FDX1,398.6128068,0.039874324,0.087114124,0.630770582,0.793099457
